IDOJ1_TipoOrgJurídica;IDAIO_AñoInicio;CONSUI_ConsumoIntermedio;SUELDOS_salariosAño;PRESTAC;TOTPERSO_PersonalTotal;VENTA
14;1994;7960069;8957050;2979940;556;75511973
5;1994;398512;341254;155193;16;5312207
5;1980;6300412;2488563;995170;164;8228650
14;1998;1625946;0;0;4;11477273
5;1998;2822836;1091884;379476;49;72569298
14;1995;639569;1484207;568166;70;20010172
14;1988;596940;462533;150919;21;10930082
14;1988;6068904;3487507;1236897;216;54248966
14;1997;70957;191837;83497;16;1668941
14;2000;730528;195289;66233;15;7124547
14;1992;1212328;294019;116458;48;6898939
4;2002;392461;172435;71256;10;3454900
14;1992;796679;152554;65028;21;7894783
5;1989;1558682;1996551;879834;83;19672344
14;2002;6672503;5757078;1986438;407;107355608
14;1986;432462;278549;123922;21;3665708
4;1983;497008;179916;61860;14;2964769
5;2007;26421551;15660727;6867463;850;165743824
14;2006;101094787;22106117;10742334;557;468395801
14;2004;1473852;819365;374739;59;21813108
4;2005;1870631;1815217;908924;129;49349840
14;1989;581408;442633;136273;41;6504500
5;2005;317761;580674;308939;27;12063733
5;2001;537030;942515;295233;44;20285117
5;1995;8232713;5345463;2036900;291;144685611
14;2002;2253912;2083671;947104;102;19550626
14;1995;1196610;1371655;614730;59;31060071
4;2000;38056806;3784703;1773146;148;125865359
14;2000;1877513;1632415;660213;83;37928729
5;2002;560877;1344990;450425;25;7774434
14;2004;792492;644908;169325;35;6853692
4;1996;652996;695588;375276;27;35007233
14;2007;8056905;7038050;1532544;228;113739911
14;1992;132750;84269;30705;8;611923
5;1991;122512;266876;89985;17;2680160
5;1996;453202;588296;247341;38;8889722
14;1999;708670;1007217;436818;38;18173130
5;1999;4924280;3437119;1291903;154;69038082
